iter	Passed	Remaining
744	2987	1022
745	2990	1018
746	2997	1015
747	3000	1010
748	3004	1006
749	3007	1002
750	3009	997
751	3013	993
752	3016	989
753	3020	985
754	3026	982
755	3031	978
756	3034	974
757	3037	969
758	3040	965
759	3044	961
760	3047	957
761	3050	952
762	3054	948
763	3058	944
764	3061	940
765	3064	936
766	3067	931
767	3070	927
768	3073	923
769	3076	919
770	3080	914
771	3083	910
772	3086	906
773	3089	902
774	3092	897
775	3095	893
776	3099	889
777	3102	885
778	3105	881
779	3108	876
780	3112	872
781	3115	868
782	3118	864
783	3122	860
784	3125	856
785	3136	853
786	3139	849
787	3143	845
788	3147	841
789	3151	837
790	3155	833
791	3160	830
792	3164	826
793	3167	821
794	3171	817
795	3174	813
796	3177	809
797	3180	805
798	3183	800
799	3186	796
800	3190	792
801	3194	788
802	3197	784
803	3201	780
804	3204	776
805	3207	772
806	3211	767
807	3215	764
808	3219	760
809	3222	755
810	3226	751
811	3229	747
812	3233	743
813	3236	739
814	3239	735
815	3242	731
816	3246	727
817	3249	723
818	3253	718
819	3256	714
820	3259	710
821	3262	706
822	3265	702
823	3269	698
824	3271	694
825	3275	689
826	3278	685
827	3281	681
828	3285	677
829	3288	673
830	3292	669
831	3295	665
832	3298	661
833	3301	657
834	3304	652
835	3307	648
836	3310	644
837	3313	640
838	3317	636
839	3320	632
840	3323	628
841	3326	624
842	3330	620
843	3333	616
844	3337	612
845	3340	608
846	3343	604
847	3347	600
848	3350	595
849	3354	591
850	3358	587
851	3361	583
852	3364	579
853	3367	575
854	3371	571
855	3374	567
856	3377	563
857	3381	559
858	3384	555
859	3388	551
860	3392	547
861	3396	543
862	3400	539
863	3406	536
864	3409	532
865	3413	528
866	3416	524
867	3420	520
868	3423	516
869	3427	512
870	3432	508
871	3435	504
872	3439	500
873	3442	496
874	3446	492
875	3450	488
876	3453	484
877	3457	480
878	3461	476
879	3465	472
880	3468	468
881	3473	464
882	3477	460
883	3482	456
884	3486	453
885	3491	449
886	3505	446
887	3508	442
888	3513	438
889	3519	434
890	3525	431
891	3529	427
892	3533	423
893	3552	421
894	3568	418
895	3571	414
896	3575	410
897	3581	406
898	3585	402
899	3588	398
900	3592	394
901	3596	390
902	3600	386
903	3761	399
904	3778	396
905	3782	392
906	3785	388
907	3789	383
908	3792	379
909	3796	375
910	3800	371
911	3803	367
912	3806	362
913	3810	358
914	3815	354
915	3820	350
916	3824	346
917	3829	342
918	3832	337
919	3836	333
920	3839	329
921	3843	325
922	3846	320
923	3851	316
924	3855	312
925	3859	308
926	3862	304
927	3865	299
928	3868	295
929	3873	291
930	3877	287
931	3880	283
932	3884	278
933	3887	274
934	3891	270
935	3895	266
936	3898	262
937	3903	257
938	3906	253
939	3910	249
